street_address,city,state,zip_code,artist,year,number_of_districts,cultural_districts,supervisor_district,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
4744 3rd Street,San Francisco,California,94124,Francisco Aquino,2011/12,1,African American Arts and Cultural District,10,POINT (-122.39094201599995 37.735120015000064),86,2,9,1,86
2070 Mission Street,San Francisco,California,94110,Cameron Moberg,2017/2018,1,American Indian Cultural District,09,POINT (-122.41987902799997 37.76391101400003),53,3,2,20,53
4049 24th Street,San Francisco,California,94114,Shawn Bullen,2014/15,0,,08,POINT (-122.43297600299995 37.75111599700006),84,3,5,22,84
710 Grant Avenue,San Francisco,California,94108,Francisco Twick Aquino,2010/11,0,,03,POINT (-122.40597898299995 37.793630980000046),104,6,3,6,104
107 Sagamore Street,San Francisco,California,94112,,,0,,11,POINT (-122.45632597399998 37.71117698300003),81,10,1,24,81
21st Street and Mission Street,San Francisco,California,94110,Mel Waters,2014/15,0,,09,POINT (-122.41891988699996 37.75702004200008),53,3,2,20,53
1397 Revere Avenue,San Francisco,California,94124,Bryanna Fleming,2011/12,1,African American Arts and Cultural District,10,POINT (-122.38647395899994 37.72926999200007),86,2,9,1,86
127 Market Street,San Francisco,California,94103,Paz de la Cazada,2010/11,0,,06,POINT (-122.39587731299997 37.793547432000025),108,6,10,8,108
1496 Oakdale Avenue,San Francisco,California,94124,Shawn Bullen,2011/12,1,African American Arts and Cultural District,10,POINT (-122.388165008 37.73367401100006),86,2,9,1,86
1601 Fillmore Street,San Francisco,California,94115,Shawn Bullen,2013/14,1,Japantown Cultural District,05,POINT (-122.43341697499994 37.78456301800003),103,4,11,15,103
506 Clement Street,San Francisco,California,94118,Bryana Fleming,2011/12,0,,01,POINT (-122.46470703899996 37.783197983000036),5,8,4,11,5
776 Clay Street,San Francisco,California,94108,Francisco Aquino,2014/15,0,,03,POINT (-122.40606763899996 37.794376818000046),104,6,3,6,104
365 10th Street,San Francisco,California,94103,Meagan Spendlove,2009/10,2,SoMa Pilipinas – Filipino Cultural District;Leather & LGBTQ Cultural District,06,POINT (-122.41158496699997 37.77213500200003),32,1,10,34,32
136 Taylor Street,San Francisco,California,94102,Cameron Moberg,2014/15,1,Compton’s Transgender Cultural District,06,POINT (-122.41061702499996 37.78375198500004),20,5,10,36,20
988 Market Street,San Francisco,California,94102,Robert Harris,2010/11,1,Compton’s Transgender Cultural District,06,POINT (-122.41034000299999 37.78268899200003),20,5,10,36,20
201 Middle Point Road,San Francisco,California,94124,Eli Lippert,2014/15,1,African American Arts and Cultural District,10,POINT (-122.37948797799999 37.733912015000044),78,2,9,1,78
3215 21st Street,San Francisco,California,94110,Jeff Petersen,2009/10,0,,09,POINT (-122.41937896299997 37.756794988000024),53,3,2,20,53
3215 21st Street,San Francisco,California,94110,Sirron Norris,2019,0,,09,POINT (-122.41937896299997 37.756794988000024),53,3,2,20,53
1620 Armstrong Avenue,San Francisco,California,94124,Blake Westrate,2010/11,1,African American Arts and Cultural District,10,POINT (-122.39247699399999 37.72685600300008),86,2,9,1,86
7th Street & Market Street,San Francisco,California,94102,Apex,2010/11,0,,06,POINT (-122.41250991 37.78048002500003),32,5,10,34,32
4700 3rd Street,San Francisco,California,94124,Eli Lippert,2011/12,1,African American Arts and Cultural District,10,POINT (-122.39074403499995 37.735597993000056),86,2,9,1,86
600 Kearny Street,San Francisco,California,94108,Shawn Bullen,2013/14,0,,03,POINT (-122.40445599099998 37.79369401200006),104,6,3,6,104
925 Larkin Street,San Francisco,California,94109,Jet Martinez,2009/10,0,,06,POINT (-122.41846801799994 37.78643901400005),50,4,10,36,50
1000 Potrero Avenue,San Francisco,California,94110,Max Ehrman,2009/10,1,Calle 24 Latino Cultural District,09,POINT (-122.40693703399995 37.75598198500006),53,3,2,20,53
285 Bartlett Street,San Francisco,California,94110,Michelle Fleck,2017/2018,0,,09,POINT (-122.41927502799994 37.75249599400007),53,3,2,20,53
355 9th Street,San Francisco,California,94103,Katya Kahn,2010/11,2,SoMa Pilipinas – Filipino Cultural District;Leather & LGBTQ Cultural District,06,POINT (-122.41058795499998 37.77303230000007),32,1,10,34,32
633 Geary Boulevard,San Francisco,California,94109,Bryana Fleming,2013/14,1,Japantown Cultural District,05,POINT (-122.42658471699997 37.785223028000075),100,4,11,39,100
1552 Ocean Avenue,San Francisco,California,94112,Meagan Spendlove,2011/12,0,,07,POINT (-122.45905201999994 37.72475298400008),71,9,8,41,71
1641 La Salle Avenue,San Francisco,California,94124,Francisco Aquino,2013/14,1,African American Arts and Cultural District,10,POINT (-122.38966696099999 37.73688599800005),86,2,9,1,86
3490-3498 18th Street,San Francisco,California,94110,Twin Walls Mural Co.,2020,0,,09,POINT (-122.42131996100001 37.76184898200006),53,3,2,20,53
5070 Mission Street,San Francisco,California,94112,Rattlecan Blasters (Cameron Moberg and Aaron Vickery),2011/12,0,,11,POINT (-122.440746027 37.71730700400008),80,9,1,28,80
